"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0세"
"서울특별시 중구 을지로동(1114060500)","1,719","9","9","1,045","6","6","674","3","3"
"서울특별시 중구 신당동(1114061500)","7,728","22","22","3,794","14","14","3,934","8","8"
"서울특별시 중구 다산동(1114062500)","13,693","43","43","6,641","26","26","7,052","17","17"
"서울특별시 중구 약수동(1114063500)","16,405","88","88","7,602","44","44","8,803","44","44"
"서울특별시 중구 청구동(1114064500)","13,421","67","67","6,372","33","33","7,049","34","34"
"서울특별시 중구 신당제5동(1114065000)","10,261","52","52","4,972","18","18","5,289","34","34"
"서울특별시 중구 동화동(1114066500)","10,169","44","44","4,889","13","13","5,280","31","31"
"서울특별시 중구 황학동(1114067000)","12,645","75","75","5,999","33","33","6,646","42","42"
"서울특별시 중구 중림동(1114068000)","12,009","90","90","5,968","46","46","6,041","44","44"
"서울특별시 용산구 (1117000000)","222,230","1,018","1,018","106,686","519","519","115,544","499","499"
"서울특별시 용산구 후암동(1117051000)","16,571","60","60","8,069","29","29","8,502","31","31"
"서울특별시 용산구 용산2가동(1117052000)","9,293","22","22","4,479","9","9","4,814","13","13"
"서울특별시 용산구 남영동(1117053000)","7,266","7","7","4,412","3","3","2,854","4","4"
"서울특별시 용산구 청파동(1117055500)","19,349","57","57","9,021","29","29","10,328","28","28"
"서울특별시 용산구 원효로제1동(1117056000)","16,937","101","101","7,909","60","60","9,028","41","41"
"서울특별시 용산구 원효로제2동(1117057000)","13,713","75","75","6,448","35","35","7,265","40","40"
"서울특별시 용산구 효창동(1117058000)","10,645","59","59","5,062","29","29","5,583","30","30"
"서울특별시 용산구 용문동(1117059000)","11,682","53","53","5,602","28","28","6,080","25","25"
"서울특별시 용산구 한강로동(1117062500)","21,629","154","154","10,256","83","83","11,373","71","71"
"서울특별시 용산구 이촌제1동(1117063000)","25,613","140","140","12,022","74","74","13,591","66","66"
"서울특별시 용산구 이촌제2동(1117064000)","8,173","68","68","3,814","34","34","4,359","34","34"
"서울특별시 용산구 이태원제1동(1117065000)","6,281","23","23","3,085","10","10","3,196","13","13"
"서울특별시 용산구 이태원제2동(1117066000)","8,865","36","36","4,084","14","14","4,781","22","22"
"서울특별시 용산구 한남동(1117068500)","20,191","104","104","9,709","53","53","10,482","51","51"
"서울특별시 용산구 서빙고동(1117069000)","12,894","39","39","6,186","20","20","6,708","19","19"
"서울특별시 용산구 보광동(1117070000)","13,128","20","20","6,528","9","9","6,600","11","11"
"서울특별시 성동구 (1120000000)","283,603","1,657","1,657","138,050","871","871","145,553","786","786"
