,결과,득점_득점,공격종합성공률,후위성공률,퀵오픈성공률,서브성공률,디그성공률,세트성공률,리시브성공률,블로킹성공률,팀명_KB손해보험,팀명_OK금융그룹,팀명_대한항공,팀명_삼성화재,팀명_우리카드,팀명_한국전력,팀명_현대캐피탈,상대팀_KB손해보험,상대팀_OK금융그룹,상대팀_대한항공,상대팀_삼성화재,상대팀_우리카드,상대팀_한국전력,상대팀_현대캐피탈
1114,1,60,0.5844155844155844,0.6428571428571429,0.631578947368421,0.08108108108108109,0.6956521739130435,0.5641025641025641,0.66,0.21951219512195122,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1115,1,58,0.6027397260273972,0.6,0.7142857142857143,0.08333333333333333,0.8181818181818182,0.581081081081081,0.46938775510204084,0.3076923076923077,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1116,1,70,0.5957446808510638,0.75,0.5,0.0449438202247191,0.7333333333333333,0.5686274509803921,0.5,0.2222222222222222,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1117,1,50,0.5873015873015873,0.6,0.5925925925925926,0.06153846153846154,0.7586206896551724,0.5714285714285714,0.5961538461538461,0.34615384615384615,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1118,1,67,0.5543478260869565,0.56,0.5555555555555556,0.06329113924050633,0.7735849056603774,0.5094339622641509,0.6166666666666667,0.23404255319148937,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1119,1,60,0.46534653465346537,0.3793103448275862,0.3333333333333333,0.022727272727272728,0.7090909090909091,0.4485981308411215,0.44776119402985076,0.1896551724137931,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1120,1,55,0.56,0.5,0.75,0.09090909090909091,0.8181818181818182,0.5063291139240507,0.42857142857142855,0.1794871794871795,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1121,0,38,0.5409836065573771,0.6470588235294118,0.5555555555555556,0.07547169811320754,0.7419354838709677,0.4594594594594595,0.5666666666666667,0.030303030303030304,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1122,1,55,0.5066666666666667,0.4090909090909091,0.45454545454545453,0.09859154929577464,0.8333333333333334,0.4642857142857143,0.6078431372549019,0.2127659574468085,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1123,1,43,0.6346153846153846,0.6428571428571429,0.5,0.05660377358490566,0.5833333333333334,0.5737704918032787,0.5428571428571428,0.16666666666666666,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1124,0,57,0.5,0.6666666666666666,0.5,0.0,0.7872340425531915,0.46153846153846156,0.4230769230769231,0.13793103448275862,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1125,1,68,0.6162790697674418,0.72,0.7142857142857143,0.044444444444444446,0.6190476190476191,0.5764705882352941,0.5151515151515151,0.22,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1126,1,87,0.5227272727272727,0.5333333333333333,0.625,0.023622047244094488,0.7678571428571429,0.49624060150375937,0.6593406593406593,0.18292682926829268,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1127,1,72,0.5267857142857143,0.5428571428571428,0.6,0.031578947368421054,0.7391304347826086,0.5263157894736842,0.6296296296296297,0.16666666666666666,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1128,1,60,0.5274725274725275,0.5454545454545454,0.5714285714285714,0.0273972602739726,0.7804878048780488,0.4603174603174603,0.4782608695652174,0.19607843137254902,0,0,0,0,0,0,1,0,0,0,0,1,0,0
